"gamma i of the SFR fission products (solid ONLY) calculated with EFR",,,,,,,,,,,,,,,,,,,,,
"PF","U238","U236","U235","U234","U233","th232","pu242","pu241","pu240","pu239","pu238","np238","np237","cm245","cm244","cm243","am243","am242m","am241",,
"Ge74",0.000001925715,0.000005511572,0.000002927979,0.00001022916,0.0000101665,0.000008205828,0.000006111943,0.000006022181,0.000003740627,0.000009546445,0.000006191794,0.00000590316,0.00001097536,0.000006315291,0.000005686073,0.000005508446,0.000005295661,0.000005368995,0.00001503912,,
"Ge76",0.000008817338,0.0000311635,0.00002040888,0.00005601343,0.00006301167,0.00003956514,0.0000229263,0.00002371844,0.00001745693,0.00003851409,0.00002717716,0.0000261662,0.0000492149,0.00002020362,0.00001901046,0.00001919901,0.00001850058,0.00001954998,0.0000520267,,
"Ho165",0.0000002276555,0.00000003966364,0.00000001303073,0.00000001035549,0.0000000152512,0.00000000008777381,0.000008484203,0.000004733217,0.00001103405,0.000002077492,0.0000004882901,0.0000005528591,0.0000004936131,0.00003549852,0.00002726212,0.0000135817,0.00001412617,0.000007872779,0.00001753486,,
"I127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"I129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"I131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"I135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"In113",0.000001929887,0.000003927011,0.000002099115,0.000003263064,0.000003846026,0.000004278776,0.00002330318,0.00001270701,0.000009661913,0.000008133445,0.000003248752,0.000002827651,0.000002876503,0.0001085236,0.00005923615,0.00004169377,0.0000557253,0.00003346978,0.00002697447,,
"In115",0.0002094027,0.000410169,0.0001494498,0.0003000879,0.0003314536,0.000375013,0.0006793131,0.0004078994,0.0003631674,0.0004353703,0.0001786673,0.0001430019,0.0002478451,0.004247839,0.002182976,0.001573936,0.001885027,0.001065988,0.0008959264,,
"Kr80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Kr82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Kr83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Kr84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Kr85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Kr86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"La139",0.0346864,0.03871523,0.03759053,0.036243,0.03821296,0.04407516,0.03502634,0.03660394,0.03542933,0.03179984,0.03433069,0.0336014,0.0343808,0.03287478,0.03407471,0.03399182,0.03345486,0.03401742,0.03965583,,
"La140",0.00009790244,0.0001602326,0.00007659639,0.0001803197,0.00009827747,0.0001281685,0.00009169681,0.00007405457,0.00009300141,0.00008660759,0.0000757453,0.0001719355,0.0001750797,0.0002797513,0.0002331057,0.000279411,0.0001636436,0.0001516095,0.00008081974,,
"Mo100",0.0387999,0.03262312,0.03871089,0.03567737,0.02689814,0.009815218,0.03516873,0.03599215,0.03920219,0.03999324,0.0390068,0.04281906,0.03995058,0.025191,0.02886771,0.02930979,0.02719995,0.02952235,0.03316862,,
"Mo95",0.02601822,0.03234784,0.03384119,0.02775706,0.03275053,0.02857127,0.01706477,0.01926647,0.02245743,0.02304812,0.02730743,0.02280858,0.02473975,0.008916191,0.01072723,0.01072106,0.01326662,0.01536747,0.0190408,,
"Mo96",0.0008551427,0.0007885305,0.001177397,0.0006813551,0.001100176,0.0009351264,0.0005608769,0.0006637199,0.0007349683,0.0007703298,0.0009659822,0.0005497584,0.0006006404,0.0001555461,0.0002270824,0.0002246719,0.0003214293,0.0003865216,0.0006459867,,
"Mo97",0.03313156,0.03791802,0.03534639,0.04113628,0.03300269,0.02628455,0.02542743,0.02641487,0.03022548,0.02871051,0.03239131,0.03492055,0.03749036,0.01938119,0.02209605,0.02288143,0.02331064,0.02584889,0.02741381,,
"Mo98",0.0356551,0.03248642,0.03767756,0.04557981,0.03290513,0.02374368,0.02883496,0.02973286,0.03337855,0.03557141,0.03481822,0.03822176,0.03807129,0.02134164,0.02441033,0.02495356,0.02521751,0.02720917,0.02951194,,
"Mo99",0.0001703296,0.0003262483,0.0001308544,0.0003468888,0.0001327997,0.0000815768,0.0001377227,0.0001211907,0.0001708554,0.0001597417,0.0001419847,0.0003393501,0.0003892307,0.0003512694,0.000319075,0.0004052134,0.0002227522,0.0002227705,0.0001446214,,
"Nb94",0.00000000001157272,0.0000000002833889,0.0000000001802213,0.000000006661591,0.00000002775371,0.00000000001425124,0.0000000001581829,0.0000000007636277,0.000000003826692,0.00000001638433,0.00000006723153,0.000000001228541,0.000000005256841,0.000000007883395,0.00000003159501,0.0000001135143,0.000000002548099,0.00000001091836,0.00000004157559,,
"Nb95",0.001852432,0.004204066,0.001961551,0.003607108,0.002231991,0.002031016,0.001214402,0.001175884,0.00164708,0.001625762,0.001679396,0.003053911,0.003299799,0.002259392,0.002101013,0.002704134,0.001781113,0.001940825,0.001359315,,
"Nd142",0.0004007714,0.0002421621,0.0004352514,0.0002884339,0.000476486,0.0005128537,0.0003708497,0.0003402416,0.0003336951,0.0003478611,0.0003870181,0.0002572905,0.0002230573,0.0001273755,0.0001939178,0.0001298543,0.0002314559,0.000237673,0.000328866,,
"Nd143",0.0256025,0.02678824,0.03056829,0.02976482,0.03057105,0.03620386,0.02534748,0.02544278,0.02388482,0.024191,0.02402237,0.02334845,0.02572161,0.02244042,0.02340469,0.02209214,0.0229285,0.02329597,0.02160246,,
"Nd144",0.01605305,0.01534982,0.01907372,0.01287588,0.01699081,0.02703421,0.01518745,0.01547013,0.01319344,0.01283196,0.01447292,0.01024811,0.01141707,0.007695583,0.00899011,0.007136174,0.0108943,0.01117834,0.01227484,,
"Nd145",0.02136386,0.02402054,0.02101625,0.02076378,0.01847646,0.02994701,0.01887656,0.01803249,0.01610157,0.0170765,0.01891178,0.0186846,0.01828158,0.02006014,0.0194778,0.01829559,0.01997521,0.01929393,0.01946888,,
"Nd146",0.02114877,0.02193037,0.01804428,0.01656766,0.01523665,0.02399252,0.01775851,0.01668991,0.01436239,0.01568284,0.01758217,0.01705447,0.0169912,0.01810917,0.01772428,0.01629615,0.0173062,0.01622983,0.01876264,,
"Nd147",0.0002842656,0.000384153,0.0001845706,0.0003742587,0.0001839641,0.0003228506,0.000254455,0.0002019987,0.0002182951,0.000208532,0.0001999426,0.0004531166,0.0004356214,0.000909652,0.0007183282,0.0008091085,0.0004534127,0.0004012958,0.0002346554,,
"Nd148",0.01293095,0.009470955,0.009760506,0.007946501,0.007119849,0.01137646,0.01156485,0.01112438,0.009388119,0.009931097,0.009219547,0.01034437,0.01005513,0.01232782,0.01250354,0.01098633,0.01047652,0.01025463,0.01153704,,
"Nd150",0.007433428,0.005186988,0.004069955,0.003508335,0.002738249,0.005402475,0.006925272,0.006882607,0.00577534,0.005859512,0.004686438,0.005566168,0.005679742,0.007735384,0.006754077,0.006168589,0.007127078,0.006749935,0.007464911,,
"Pd104",0.002055399,0.0009491164,0.001245594,0.0003035415,0.0005864826,0.00005703619,0.002099565,0.002276521,0.002327893,0.002313315,0.002509209,0.001652924,0.001233909,0.0006910578,0.0009738985,0.000806828,0.001397809,0.001524143,0.002234744,,
